w_x	w_y	b_x	b_y	g_x	g_y	v_x	v_y
918	693	1988	1224	2316	968	4466	330
979	715	1375	1524	2871	1094	4372	676
924	1320	1832	1926	2910	1920	4323	1529
754	1760	1951	2018	1363	1698	4026	2230
946	1859	2255	1744	1666	1892	4400	2403
1111	1936	2398	726	3168	2244	4603	1320
1342	2079	1952	600	1062	2568	4532	852
1276	2222	2898	352	820	1100	3872	1743
1414	2673	2805	1045	3598	534	4059	2414
1705	1644	2690	1512	1463	556	4070	1622
2321	1546	2761	2378	1848	1782	3833	2392
2508	1788	2453	1458	473	1854	528	99
2321	1947	2783	682	3064	1595	1518	1353
3135	248	2662	2112	3762	737	308	1182
3564	187	1562	2426	1782	2145	715	522
3492	2266	2516	1076	2332	962	346	1490
3355	1345	2964	2252	2354	2420	214	126
2810	852	2312	2340	3179	2211	407	1435
2816	1232	1282	1485	1788	2140	1292	1127
3108	1402	852	2392	1062	2590	1116	929
